t, ref_R, ref_th, Rv, thv
0.009550, 0.000000, 0.000000, 0.000537, 0.000237
0.009550, 0.000000, 0.000000, 0.000537, 0.000237
0.009600, 0.000000, 0.000000, 0.000537, 0.000237
0.009600, 0.000000, 0.000000, 0.000526, 0.000219
0.009650, 0.000000, 0.000000, 0.000526, 0.000219
0.009650, 0.000000, 0.000000, 0.000526, 0.000219
0.009700, 0.000000, 0.000000, 0.000526, 0.000219
0.009700, 0.000000, 0.000000, 0.000516, 0.000202
0.009750, 0.000000, 0.000000, 0.000516, 0.000202
0.009750, 0.000000, 0.000000, 0.000516, 0.000202
0.009800, 0.000000, 0.000000, 0.000516, 0.000202
0.009800, 0.000000, 0.000000, 0.000506, 0.000186
0.009850, 0.000000, 0.000000, 0.000506, 0.000186
0.009850, 0.000000, 0.000000, 0.000506, 0.000186
0.009900, 0.000000, 0.000000, 0.000506, 0.000186
0.009900, 0.000000, 0.000000, 0.000497, 0.000170
0.009950, 0.000000, 0.000000, 0.000497, 0.000170
0.009950, 0.000000, 0.000000, 0.000497, 0.000170
0.010000, 0.000000, 0.000000, 0.000497, 0.000170
0.010000, 0.000000, 0.000000, 0.000487, 0.000156
0.010050, 0.000000, 0.000000, 0.000487, 0.000156
0.010050, 0.000000, 0.000000, 0.000487, 0.000156
0.010100, 0.000000, 0.000000, 0.000487, 0.000156
0.010100, 0.000000, 0.000000, 0.000478, 0.000142
0.010150, 0.000000, 0.000000, 0.000478, 0.000142
0.010150, 0.000000, 0.000000, 0.000478, 0.000142
0.010200, 0.000000, 0.000000, 0.000478, 0.000142
0.010200, 0.000000, 0.000000, 0.000469, 0.000128
0.010250, 0.000000, 0.000000, 0.000469, 0.000128
0.010250, 0.000000, 0.000000, 0.000469, 0.000128
0.010300, 0.000000, 0.000000, 0.000469, 0.000128
0.010300, 0.000000, 0.000000, 0.000460, 0.000116
0.010350, 0.000000, 0.000000, 0.000460, 0.000116
0.010350, 0.000000, 0.000000, 0.000460, 0.000116
0.010400, 0.000000, 0.000000, 0.000460, 0.000116
0.010400, 0.000000, 0.000000, 0.000451, 0.000104
